"","Event.Date","State","Latitude","Longitude","Injury.Severity","Aircraft.Damage","Amateur.Built","Purpose.of.Flight"
"11131",2005-12-27," NC "," 34.270556 "," -77.902500 "," Non-Fatal "," Substantial "," No "," Instructional "
"11135",2005-12-26," TX "," 32.925000 "," -97.405833 "," Fatal"," Substantial "," No "," Personal "
"11136",2005-12-26," NM "," 34.985555 "," -106.000833 "," Non-Fatal "," Substantial "," No "," Personal "
"11138",2005-12-26," WI "," 45.631111 "," -89.467500 "," Non-Fatal "," Substantial "," No "," Instructional "
"11140",2005-12-25," TX "," 29.746666 "," -98.450556 "," Non-Fatal "," Substantial "," No "," Personal "
"11141",2005-12-25," TX "," 33.240833 "," -96.558333 "," Non-Fatal "," Destroyed "," No "," Personal "
"11143",2005-12-24," ID "," 43.848333 "," -116.545833 "," Non-Fatal "," Destroyed "," No "," Personal "
"11145",2005-12-24," FL "," 29.658611 "," -81.688611 "," Non-Fatal "," Substantial "," No "," Personal "
"11146",2005-12-24," CA "," 38.912222 "," -123.063056 "," Fatal"," Destroyed "," No "," Personal "
"11147",2005-12-24," CA "," 33.038889 "," -116.915000 "," Non-Fatal "," Destroyed "," Yes "," Personal "
"11148",2005-12-24," CO "," 40.039444 "," -105.225834 "," Fatal"," Destroyed "," Yes "," Personal "
"11149",2005-12-24," OH "," 40.365833 "," -80.700000 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11150",2005-12-23," FL "," 28.131667 "," -81.660556 "," Non-Fatal "," Substantial "," No "," Personal "
"11151",2005-12-23," CA "," 37.693611 "," -121.640277 "," Fatal"," Substantial "," No "," Personal "
"11153",2005-12-23," NM "," 34.759722 "," -106.745277 "," Non-Fatal "," Minor "," No "," Personal "
"11154",2005-12-23," WI "," 42.689444 "," -90.444444 "," Non-Fatal "," Substantial "," No "," Instructional "
"11155",2005-12-23," IL "," 41.425556 "," -88.418611 "," Non-Fatal "," Substantial "," No "," Personal "
"11156",2005-12-22," CA "," 34.091666 "," -117.781945 "," Non-Fatal "," Substantial "," No "," Instructional "
"11158",2005-12-22," AL "," 33.885000 "," -87.197222 "," Non-Fatal "," Substantial "," No "," Personal "
"11159",2005-12-22," AK "," 60.018889 "," -147.385833 "," Non-Fatal "," Substantial "," No "," Personal "
"11160",2005-12-21," CT "," 41.743889 "," -72.180000 "," Non-Fatal "," Substantial "," No "," Personal "
"11161",2005-12-21," CA "," 37.067778 "," -121.518889 "," Fatal"," Destroyed "," No "," Personal "
"11162",2005-12-21," CO "," 38.945555 "," -104.569723 "," Non-Fatal "," Substantial "," No "," Personal "
"11164",2005-12-21," MO "," 38.633333 "," -92.533611 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11165",2005-12-21," IA "," 43.387500 "," -95.139166 "," Non-Fatal "," Substantial "," No "," Personal "
"11166",2005-12-21," OH "," 40.961667 "," -80.677223 "," Non-Fatal "," Substantial "," No "," Personal "
"11167",2005-12-21," AK "," 62.033333 "," -151.784444 "," Non-Fatal "," Substantial "," No "," Personal "
"11170",2005-12-20," IL "," 42.322778 "," -88.836389 "," Non-Fatal "," Substantial "," No "," Instructional "
"11171",2005-12-20," IA "," 43.077778 "," -94.271945 "," Non-Fatal "," Substantial "," No "," Personal "
"11176",2005-12-18," NJ "," 40.617223 "," -74.244444 "," Non-Fatal "," Substantial "," No "," Instructional "
"11177",2005-12-18," FL "," 29.971945 "," -81.267778 "," Fatal"," Substantial "," No "," Personal "
"11179",2005-12-18," CA "," 34.100000 "," -117.916667 "," Non-Fatal "," Destroyed "," No "," Personal "
"11180",2005-12-17," OH "," 40.475834 "," -80.628056 "," Non-Fatal "," Substantial "," No "," Personal "
"11181",2005-12-16," MT "," 45.849166 "," -112.450555 "," Fatal"," Destroyed "," No "," Personal "
"11182",2005-12-16," FL "," 25.948889 "," -80.423334 "," Non-Fatal "," Substantial "," No "," Instructional "
"11183",2005-12-16," FL "," 27.180834 "," -80.221111 "," Non-Fatal "," Substantial "," No "," Personal "
"11186",2005-12-15," HI "," 20.776944 "," -156.067500 "," Fatal"," Substantial "," No "," Personal "
"11188",2005-12-15," TX "," 29.692222 "," -96.585555 "," Non-Fatal "," Substantial "," No "," Personal "
"11192",2005-12-14," NY "," 42.493333 "," -79.271945 "," Non-Fatal "," Substantial "," No "," Personal "
"11193",2005-12-14," NY "," 42.493333 "," -79.271945 "," Non-Fatal "," Substantial "," No "," Personal "
"11194",2005-12-14," CA "," 38.336666 "," -121.706111 "," Fatal"," Substantial "," No "," Personal "
"11196",2005-12-13," CA "," 32.826111 "," -116.972223 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11197",2005-12-13," NM "," 32.590833 "," -105.209166 "," Fatal"," Destroyed "," No "," Personal "
"11198",2005-12-13," OH "," 41.131389 "," -81.765000 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11199",2005-12-13," AL "," 30.626667 "," -88.067500 "," Non-Fatal "," Substantial "," No "," Instructional "
"11202",2005-12-12," FL "," 29.179723 "," -81.058056 "," Non-Fatal "," Substantial "," No "," Instructional "
"11203",2005-12-12," CA "," 37.537500 "," -118.603056 "," Fatal"," Destroyed "," No "," Personal "
"11204",2005-12-11," WA "," 46.676945 "," -122.982778 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11206",2005-12-11," FL "," 29.033333 "," -81.033333 "," Non-Fatal "," Substantial "," No "," Personal "
"11207",2005-12-11," CA "," 33.883333 "," -117.604167 "," Non-Fatal "," Substantial "," No "," Personal "
"11208",2005-12-11," CA "," 33.883333 "," -117.604167 "," Non-Fatal "," Substantial "," No "," Personal "
"11209",2005-12-11," MN "," 44.406667 "," -96.081389 "," Fatal"," Destroyed "," No "," Personal "
"11211",2005-12-10," FL "," 26.920278 "," -81.990555 "," Non-Fatal "," Destroyed "," Yes "," Personal "
"11212",2005-12-10," CA "," 36.435833 "," -119.583611 "," Fatal"," Destroyed "," No "," Personal "
"11213",2005-12-10," CA "," 34.259444 "," -118.413333 "," Non-Fatal "," Substantial "," No "," Personal "
"11214",2005-12-10," KS "," 39.011667 "," -95.216667 "," Non-Fatal "," Substantial "," No "," Instructional "
"11216",2005-12-09," OR "," 44.286944 "," -120.903889 "," Non-Fatal "," Substantial "," No "," Personal "
"11217",2005-12-09," TX "," 30.061944 "," -95.552778 "," Non-Fatal "," Substantial "," No "," Personal "
"11219",2005-12-08," FL "," 25.083333 "," -80.416667 "," Non-Fatal "," Substantial "," No "," Personal "
"11221",2005-12-08," IL "," 42.195277 "," -89.097222 "," Non-Fatal "," Substantial "," No "," Instructional "
"11224",2005-12-07," NV "," 39.000556 "," -119.750556 "," Non-Fatal "," Substantial "," No "," Personal "
"11228",2005-12-06," GA "," 31.248889 "," -82.395277 "," Non-Fatal "," Substantial "," No "," Instructional "
"11229",2005-12-04," KS "," 39.227223 "," -94.951111 "," Non-Fatal "," Substantial "," No "," Personal "
"11230",2005-12-03," ID "," 48.371389 "," -116.383333 "," Non-Fatal "," Substantial "," No "," Instructional "
"11231",2005-12-03," NH "," 43.283333 "," -70.929167 "," Non-Fatal "," Substantial "," No "," Instructional "
"11234",2005-12-01," MA "," 41.253056 "," -70.060278 "," Fatal"," Destroyed "," No "," Personal "
"11235",2005-12-01," CA "," 35.686666 "," -117.697777 "," Non-Fatal "," Substantial "," No "," Personal "
"11240",2005-11-30," MN "," 46.397777 "," -94.137222 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11241",2005-11-30," NC "," 35.583611 "," -79.100278 "," Non-Fatal "," Substantial "," No "," Instructional "
"11242",2005-11-29," MT "," 45.831945 "," -111.160000 "," Fatal"," Destroyed "," No "," Personal "
"11243",2005-11-28," CA "," 32.797777 "," -115.510556 "," Fatal"," Destroyed "," No "," Personal "
"11247",2005-11-28," IL "," 41.979723 "," -87.904444 "," Fatal"," Destroyed "," Yes "," Personal "
"11248",2005-11-27," CA "," 32.816667 "," -116.966667 "," Non-Fatal "," Substantial "," No "," Personal "
"11249",2005-11-27," NE "," 40.384166 "," -99.456389 "," Fatal"," Destroyed "," No "," Personal "
"11250",2005-11-27," GA "," 34.751111 "," -83.937222 "," Fatal"," Substantial "," No "," Personal "
"11251",2005-11-26," WA "," 47.316667 "," -122.216667 "," Non-Fatal "," Substantial "," No "," Personal "
"11252",2005-11-26," NJ "," 40.947500 "," -74.314444 "," Non-Fatal "," Substantial "," No "," Personal "
"11253",2005-11-25," UT "," 40.481945 "," -111.428889 "," Non-Fatal "," Substantial "," No "," Personal "
"11254",2005-11-25," CA "," 32.988055 "," -117.205556 "," Non-Fatal "," Substantial "," No "," Business "
"11256",2005-11-24," AZ "," 34.945277 "," -110.141666 "," Non-Fatal "," Substantial "," No "," Instructional "
"11257",2005-11-24," CA "," 36.580000 "," -117.998333 "," Non-Fatal "," Substantial "," No "," Personal "
"11258",2005-11-23," KY "," 37.830556 "," -87.005556 "," Non-Fatal "," Substantial "," No "," Personal "
"11259",2005-11-23," FL "," 28.683333 "," -80.866667 "," Fatal"," Substantial "," No "," Personal "
"11260",2005-11-23," TX "," 29.704444 "," -98.042222 "," Non-Fatal "," Substantial "," No "," Personal "
"11261",2005-11-23," OK "," 36.043611 "," -95.985277 "," Non-Fatal "," Substantial "," No "," Personal "
"11263",2005-11-22," WA "," 48.483889 "," -122.936111 "," Non-Fatal "," Substantial "," No "," Instructional "
"11264",2005-11-22," VT "," 44.427223 "," -73.079445 "," Non-Fatal "," Substantial "," No "," Personal "
"11266",2005-09-16," CO "," 40.021111 "," -104.551944 "," Fatal"," Destroyed "," Yes "," Personal "
"11267",2005-09-16," NE "," 42.322778 "," -96.681111 "," Non-Fatal "," Substantial "," No "," Business "
"11268",2005-09-16," AL "," 31.853611 "," -86.617500 "," Non-Fatal "," Substantial "," No "," Personal "
"11269",2005-09-16," AK "," 67.483333 "," -147.856389 "," Non-Fatal "," Substantial "," No "," Personal "
"11270",2005-09-16," AK "," 61.258333 "," -150.000000 "," Non-Fatal "," Substantial "," No "," Personal "
"11271",2005-09-15," ID "," 44.906944 "," -115.486944 "," Non-Fatal "," Substantial "," No "," Personal "
"11272",2005-09-15," CA "," 36.038056 "," -119.071389 "," Non-Fatal "," Substantial "," No "," Personal "
"11273",2005-09-15," KY "," 36.772778 "," -87.519445 "," Non-Fatal "," Substantial "," No "," Personal "
"11274",2005-09-15," TX "," 30.270278 "," -95.025278 "," Fatal"," Destroyed "," No "," Personal "
"11276",2005-09-15," WI "," 43.316389 "," -89.531945 "," Non-Fatal "," Substantial "," No "," Personal "
"11278",2005-09-14," ME "," 44.060000 "," -69.099166 "," Non-Fatal "," Substantial "," No "," Business "
"11279",2005-09-14," FL "," 30.166667 "," -81.350000 "," Non-Fatal "," Substantial "," No "," Personal "
"11281",2005-09-14," TX "," 35.064444 "," -101.849444 "," Non-Fatal "," Destroyed "," No "," Personal "
"11283",2005-09-14," CO "," 40.039444 "," -105.225834 "," Non-Fatal "," Substantial "," No "," Personal "
"11284",2005-09-14," WI "," 42.572223 "," -88.367223 "," Non-Fatal "," Substantial "," No "," Personal "
"11286",2005-09-13," FL "," 25.642222 "," -80.433333 "," Non-Fatal "," Substantial "," No "," Personal "
"11289",2005-09-13," UT "," 40.141666 "," -111.661667 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11290",2005-09-13," IN "," 40.815278 "," -84.927500 "," Non-Fatal "," Substantial "," No "," Personal "
"11291",2005-09-13," AK "," 64.171945 "," -150.495277 "," Non-Fatal "," Substantial "," No "," Personal "
"11292",2005-09-12," OR "," 42.156111 "," -121.733056 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11293",2005-09-12," ME "," 44.778889 "," -70.789444 "," Non-Fatal "," Substantial "," No "," Personal "
"11294",2005-09-12," WV "," 39.325000 "," -78.425000 "," Non-Fatal "," Substantial "," No "," Personal "
"11295",2005-09-12," AK "," 64.634444 "," -148.617223 "," Fatal"," Substantial "," No "," Personal "
"11297",2005-09-11," CA "," 33.829723 "," -118.166389 "," Fatal"," Destroyed "," No "," Instructional "
"11298",2005-09-11," AZ "," 33.968889 "," -112.798611 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11299",2005-09-11," MI "," 46.009167 "," -83.743889 "," Non-Fatal "," Substantial "," No "," Personal "
"11300",2005-09-11," AK "," 64.183333 "," -147.750000 "," Non-Fatal "," Substantial "," No "," Personal "
"11302",2005-09-10," MA "," 41.685277 "," -70.402222 "," Non-Fatal "," Substantial "," No "," Personal "
"11303",2005-09-10," AZ "," 33.700556 "," -112.250556 "," Non-Fatal "," Substantial "," No "," Instructional "
"11304",2005-09-10," ME "," 44.221111 "," -69.189722 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11305",2005-09-10," AR ","  "," -91.075556 "," Non-Fatal "," Substantial "," No "," Personal "
"11308",2005-09-10," IN "," 40.760278 "," -85.806667 "," Fatal"," Destroyed "," No "," Personal "
"11309",2005-09-10," MI "," 41.807500 "," -86.305833 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11310",2005-09-10," NC "," 34.268889 "," -70.901389 "," Non-Fatal "," Substantial "," No "," Personal "
"11311",2005-09-10," AL "," 31.314444 "," -86.400555 "," Non-Fatal "," Substantial "," No "," Personal "
"11312",2005-09-10," AK "," 59.200000 "," -155.166667 "," Non-Fatal "," Substantial "," No "," Personal "
"11313",2005-09-09," CA "," 41.263056 "," -122.271945 "," Non-Fatal "," Substantial "," No "," Personal "
"11314",2005-09-09," TX "," 29.618334 "," -94.986666 "," Non-Fatal "," Substantial "," No "," Personal "
"11315",2005-09-09," WY "," 43.607222 "," -110.737500 "," Non-Fatal "," Substantial "," No "," Personal "
"11316",2005-09-09," CO "," 37.953611 "," -107.908333 "," Non-Fatal "," Substantial "," No "," Personal "
"11317",2005-09-09," SD "," 45.019445 "," -99.101389 "," Fatal"," Destroyed "," No "," Personal "
"11318",2005-09-09," WI "," 43.160278 "," -90.675556 "," Non-Fatal "," Substantial "," No "," Personal "
"11319",2005-09-09," IL "," 39.002222 "," -90.432223 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11320",2005-09-09," AK "," 57.350000 "," -156.900000 "," Non-Fatal "," Substantial "," No "," Personal "
"11323",2005-09-08," CA "," 34.205833 "," -118.487222 "," Non-Fatal "," Substantial "," No "," Personal "
"11324",2005-09-07," CA "," 33.480556 "," -118.585000 "," Fatal"," Destroyed "," No "," Instructional "
"11328",2005-09-07," WY "," 44.769167 "," -106.980278 "," Non-Fatal "," Substantial "," No "," Personal "
"11329",2005-09-07," IN "," 39.044444 "," -87.005556 "," Fatal"," Destroyed "," Yes "," Personal "
"11330",2005-09-07," MN "," 47.551944 "," -96.291944 "," Non-Fatal "," Substantial "," No "," Instructional "
"11331",2005-09-07," IL "," 40.604722 "," -90.287500 "," Non-Fatal "," Substantial "," No "," Personal "
"11332",2005-09-06," NY "," 40.623611 "," -73.261389 "," Non-Fatal "," Substantial "," No "," Personal "
"11334",2005-09-06," AK "," 64.113333 "," -147.605000 "," Non-Fatal "," Substantial "," No "," Personal "
"11335",2005-09-06," AK "," 60.750556 "," -158.862222 "," Non-Fatal "," Substantial "," No "," Personal "
"11337",2005-09-05," ID "," 44.889722 "," -116.101389 "," Non-Fatal "," Substantial "," No "," Personal "
"11339",2005-09-05," NV "," 40.433333 "," -115.750000 "," Non-Fatal "," Substantial "," No "," Personal "
"11340",2005-09-05," NJ "," 40.947500 "," -74.314444 "," Non-Fatal "," Substantial "," No "," Personal "
"11342",2005-09-05," TX "," 29.607222 "," -95.158611 "," Non-Fatal "," Substantial "," No "," Personal "
"11344",2005-09-05," TN "," 35.380000 "," -86.246111 "," Non-Fatal "," Substantial "," No "," Personal "
"11346",2005-09-04," WA "," 46.403056 "," -122.698333 "," Non-Fatal "," Destroyed "," No "," Personal "
"11347",2005-09-04," AZ "," 32.640277 "," -110.647222 "," Non-Fatal "," Substantial "," No "," Personal "
"11348",2005-09-04," PA "," 40.216667 "," -76.850000 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11349",2005-09-04," IL "," 42.449444 "," -89.072223 "," Non-Fatal "," Substantial "," No "," Personal "
"11350",2005-09-04," AL "," 34.280278 "," -87.600278 "," Non-Fatal "," Substantial "," No "," Personal "
"11351",2005-09-03," CA "," 35.666667 "," -117.333333 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11353",2005-09-03," MI "," 41.855000 "," -83.591389 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11354",2005-09-03," AK "," 62.083333 "," -154.666667 "," Non-Fatal "," Substantial "," No "," Business "
"11355",2005-09-03," AK "," 64.659167 "," -148.380278 "," Non-Fatal "," Substantial "," No "," Personal "
"11356",2005-09-02," OR "," 44.134444 "," -120.864444 "," Fatal"," Substantial "," Yes "," Personal "
"11357",2005-09-02," NJ "," 40.861944 "," -74.048055 "," Fatal"," Substantial "," No "," Personal "
"11358",2005-09-02," AZ "," 32.656389 "," -114.605833 "," Fatal"," Destroyed "," No "," Personal "
"11359",2005-09-02," PA "," 40.506667 "," -75.787777 "," Non-Fatal "," Substantial "," No "," Personal "
"11363",2005-09-01," MT "," 48.128334 "," -114.348611 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11364",2005-09-01," CA "," 38.146111 "," -120.648055 "," Non-Fatal "," Substantial "," No "," Personal "
"11368",2005-09-01," LA "," 29.984444 "," -89.993611 "," Non-Fatal "," Substantial "," No "," Business "
"11369",2005-09-01," AK "," 59.126111 "," -138.406944 "," Non-Fatal "," Substantial "," No "," Personal "
"11370",2005-08-31," WA "," 47.791389 ","  "," Non-Fatal "," Substantial "," No "," Personal "
"11371",2005-08-31," NV "," 41.766667 "," -115.316667 "," Fatal"," Substantial "," No "," Personal "
"11372",2005-08-31," CA "," 33.488333 "," -118.451944 "," Fatal"," Destroyed "," No "," Instructional "
"11373",2005-08-31," HI "," 21.579445 "," -158.197222 "," Non-Fatal "," Substantial "," No "," Personal "
"11377",2005-08-31," MO "," 38.707222 "," -93.175834 "," Fatal"," Substantial "," No "," Personal "
"11378",2005-08-31," FL "," 25.947222 "," -80.423334 "," Non-Fatal "," Substantial "," No "," Instructional "
"11379",2005-08-30," CA "," 37.332778 "," -121.819723 "," Non-Fatal "," Substantial "," No "," Personal "
"11380",2005-08-30," UT "," 41.196666 "," -112.011667 "," Non-Fatal "," Destroyed "," No "," Instructional "
"11383",2005-08-29," NV "," 39.000278 "," -119.750556 "," Non-Fatal "," Substantial "," No "," Personal "
"11386",2005-08-28," OK "," 36.043611 "," -95.983333 "," Non-Fatal "," Substantial "," No "," Personal "
"11387",2005-08-28," IL "," 39.638889 "," -90.778611 "," Fatal"," Destroyed "," Yes "," Personal "
"11388",2005-08-28," IL "," 42.377778 "," -89.563889 "," Non-Fatal "," Substantial "," No "," Personal "
"11389",2005-08-28," MI "," 42.238055 "," -83.530278 "," Non-Fatal "," Substantial "," No "," Personal "
"11391",2005-08-28," NC "," 34.254722 "," -77.738611 "," Fatal"," Destroyed "," Yes "," Personal "
"11393",2005-08-28," AK "," 61.166667 "," -149.983333 "," Non-Fatal "," Substantial "," No "," Personal "
"11394",2005-08-28," AK "," 64.033333 "," -148.171667 "," Non-Fatal "," Substantial "," No "," Personal "
"11396",2005-08-27," OR "," 42.583056 "," -121.876111 "," Non-Fatal "," Substantial "," No "," Personal "
"11397",2005-08-27," ID "," 43.564444 "," -116.222778 "," Non-Fatal "," Substantial "," No "," Instructional "
"11398",2005-08-27," CT "," 41.491389 "," -73.085833 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11399",2005-08-27," ME "," 44.281945 "," -70.007222 "," Fatal"," Substantial "," No "," Personal "
"11400",2005-08-27," ME "," 43.464167 "," -70.472500 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11401",2005-08-27," WY "," 42.673334 "," -110.936666 "," Non-Fatal "," Substantial "," No "," Personal "
"11402",2005-08-26," PA "," 41.912500 "," -79.645833 "," Fatal"," Substantial "," No "," Personal "
"11404",2005-08-25," CA "," 41.483056 "," -120.565278 "," Non-Fatal "," Substantial "," No "," Personal "
"11405",2005-08-25," CA "," 37.081389 "," -121.596666 "," Non-Fatal "," Substantial "," No "," Personal "
"11407",2005-08-25," MI "," 46.009444 "," -83.743889 "," Non-Fatal "," Substantial "," No "," Personal "
"11408",2005-08-24," OR "," 44.943889 "," -119.338611 "," Fatal"," Destroyed "," No "," Personal "
"11409",2005-08-24," PA "," 41.348055 "," -80.079167 "," Non-Fatal "," Substantial "," No "," Personal "
"11410",2005-08-24," GA "," 32.123056 "," -81.201111 "," Non-Fatal "," Substantial "," No "," Instructional "
"11412",2005-08-07," NM "," 35.403611 "," -106.615278 "," Non-Fatal "," Substantial "," Yes "," Business "
"11413",2005-08-07," CO "," 40.453333 "," -105.018889 "," Fatal"," Substantial "," Yes "," Personal "
"11414",2005-08-07," NM "," 35.510833 "," -108.789166 "," Non-Fatal "," Substantial "," No "," Personal "
"11415",2005-08-07," IL "," 39.410556 "," -88.845555 "," Non-Fatal "," Substantial "," No "," Personal "
"11416",2005-08-07," NC "," 34.002778 "," -78.241389 "," Fatal"," Substantial "," No "," Personal "
"11417",2005-08-06," OR "," 42.578611 "," -121.890278 "," Fatal"," Destroyed "," No "," Personal "
"11418",2005-08-06," NH "," 42.790555 "," -71.528611 "," Non-Fatal "," Substantial "," No "," Personal "
"11420",2005-08-06," FL "," 30.637500 "," -86.993611 "," Fatal"," Destroyed "," Yes "," Personal "
"11421",2005-08-06," FL "," 26.433056 "," -81.410278 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11423",2005-08-06," NY "," 41.066945 "," -73.707500 "," Non-Fatal "," Substantial "," No "," Personal "
"11424",2005-08-06," TX "," 29.972500 "," -95.721945 "," Fatal"," Substantial "," No "," Personal "
"11426",2005-08-06," CO "," 40.451667 "," -105.011667 "," Non-Fatal "," Substantial "," No "," Instructional "
"11433",2005-08-06," NE "," 41.418056 "," -96.113611 "," Non-Fatal "," Substantial "," No "," Personal "
"11434",2005-08-06," MN "," 45.537222 "," -93.513889 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11435",2005-08-06," AL "," 34.618611 "," -87.051667 "," Fatal"," Substantial "," No "," Personal "
"11436",2005-08-06," TN "," 35.233333 "," -87.250000 "," Non-Fatal "," Substantial "," No "," Personal "
"11437",2005-08-06," NC "," 34.616111 "," -79.065833 "," Non-Fatal "," Substantial "," No "," Personal "
"11438",2005-08-05," ID "," 48.523334 "," -116.816667 "," Fatal"," Substantial "," Yes "," Personal "
"11439",2005-08-05," WA "," 47.666667 "," -122.233333 "," Non-Fatal "," Substantial "," No "," Personal "
"11440",2005-08-05," ME "," 45.163611 "," -70.450556 "," Non-Fatal "," Substantial "," No "," Personal "
"11442",2005-08-05," IN "," 41.527223 "," -85.792222 "," Non-Fatal "," Substantial "," No "," Instructional "
"11443",2005-08-05," IL "," 42.130000 "," -87.914444 "," Non-Fatal "," Destroyed "," No "," Personal "
"11444",2005-08-05," WI "," 43.169723 "," -88.723334 "," Non-Fatal "," Substantial "," No "," Instructional "
"11445",2005-08-05," AK "," 61.016667 "," -151.566667 "," Non-Fatal "," Substantial "," No "," Instructional "
"11446",2005-08-05," AK "," 61.394444 "," -149.845555 "," Non-Fatal "," Substantial "," No "," Instructional "
"11447",2005-08-05," AK "," 63.500000 "," -149.000000 "," Fatal"," Destroyed "," No "," Personal "
"11448",2005-08-04," ID "," 43.733333 "," -111.083333 "," Fatal"," Substantial "," No "," Personal "
"11449",2005-08-04," WA "," 47.629167 "," -120.650556 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11451",2005-08-04," WA "," 47.517778 "," -122.198611 "," Fatal"," Destroyed "," No "," Instructional "
"11452",2005-08-04," ID "," 47.549444 "," -116.188611 "," Non-Fatal "," Substantial "," No "," Personal "
"11453",2005-08-04," WA "," 46.974167 "," -123.938611 "," Non-Fatal "," Substantial "," No "," Instructional "
"11454",2005-08-04," FL "," 28.545555 "," -81.333056 "," Non-Fatal "," Substantial "," No "," Personal "
"11456",2005-08-04," AZ "," 38.141944 "," -111.174445 "," Non-Fatal "," Substantial "," No "," Personal "
"11458",2005-08-04," TX "," 28.043055 "," -97.548333 "," Non-Fatal "," Destroyed "," No "," Personal "
"11461",2005-08-03," CA "," 38.486666 "," -121.102778 "," Non-Fatal "," Substantial "," No "," Instructional "
"11462",2005-08-03," NH "," 43.871389 "," -72.174445 "," Fatal"," Destroyed "," No "," Personal "
"11466",2005-08-02," FL "," 29.174445 "," -81.054722 "," Non-Fatal "," Substantial "," No "," Instructional "
"11467",2005-08-02," AZ "," 31.999722 "," -110.357222 "," Non-Fatal "," Substantial "," No "," Personal "
"11468",2005-08-02," AR "," 33.220834 "," -92.813056 "," Non-Fatal "," Substantial "," No "," Personal "
"11469",2005-08-02," TX "," 32.558889 "," -97.304722 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11473",2005-08-01," AZ "," 32.116111 "," -110.941111 "," Non-Fatal "," Substantial "," No "," Business "
"11474",2005-08-01," CA "," 35.755000 "," -119.241666 "," Non-Fatal "," Destroyed "," Yes "," Personal "
"11475",2005-08-01," CA "," 35.252777 "," -120.625000 "," Fatal"," Destroyed "," No "," Business "
"11476",2005-08-01," CA "," 40.025278 "," -124.070556 "," Non-Fatal "," Substantial "," No "," Personal "
"11478",2005-08-01," IN "," 41.330278 "," -86.664722 "," Non-Fatal "," Destroyed "," Yes "," Personal "
"11479",2005-08-01," IA "," 41.602778 "," -93.949166 "," Non-Fatal "," Substantial "," No "," Personal "
"11480",2005-08-01," MO "," 37.320000 "," -93.419723 "," Non-Fatal "," Substantial "," No "," Personal "
"11481",2005-08-01," AK "," 56.361667 "," -160.188333 "," Non-Fatal "," Substantial "," No "," Personal "
"11483",2005-07-31," CA "," 40.966667 "," -122.683333 "," Non-Fatal "," Destroyed "," No "," Personal "
"11484",2005-07-31," NJ "," 39.942777 "," -74.845555 "," Non-Fatal "," Substantial "," No "," Instructional "
"11485",2005-07-31," LA "," 30.711389 "," -91.479167 "," Non-Fatal "," Substantial "," No "," Personal "
"11487",2005-07-31," AK "," 64.815278 "," -147.856389 "," Non-Fatal "," Substantial "," No "," Personal "
"11488",2005-07-31," AK "," 61.587500 "," -149.360278 "," Non-Fatal "," Substantial "," No "," Personal "
"11492",2005-07-30," FL "," 24.538611 "," -81.711944 "," Fatal"," Destroyed "," No "," Personal "
"11493",2005-07-30," MS "," 31.612222 "," -91.297777 "," Fatal"," Destroyed "," No "," Personal "
"11496",2005-07-30," TX "," 33.713889 "," -96.673611 "," Fatal"," Destroyed "," Yes "," Personal "
"11497",2005-07-30," TX "," 29.702778 "," -98.038611 "," Non-Fatal "," Substantial "," No "," Instructional "
"11498",2005-07-30," CO "," 30.122500 "," -108.526667 "," Fatal"," Substantial "," No "," Personal "
"11499",2005-07-30," WI "," 42.703333 "," -87.958889 "," Non-Fatal "," Substantial "," No "," Personal "
"11500",2005-07-30," AK "," 64.318889 "," -147.818334 "," Fatal"," Destroyed "," No "," Personal "
"11502",2005-07-29," NV "," 40.828056 "," -115.773056 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11503",2005-07-29," CA "," 33.354167 "," -117.250833 "," Non-Fatal "," Substantial "," No "," Personal "
"11504",2005-07-29," WY "," 41.445000 "," -106.823334 "," Non-Fatal "," Substantial "," No "," Personal "
"11505",2005-07-29," WI "," 43.984444 "," -88.556944 "," Non-Fatal "," Substantial "," Yes "," Personal "
"11506",2005-07-29," AL "," 34.745277 "," -87.610278 "," Fatal"," Substantial "," No "," Personal "
"11507",2005-07-28," OR "," 43.876389 "," -121.453056 "," Non-Fatal "," Substantial "," No "," Personal "
"11508",2005-07-28," WA "," 45.627778 "," -122.404167 "," Non-Fatal "," Substantial "," No "," Instructional "
